,Location,Round,Mean,Count
0,AKV,!ED,0.7285714285714285,140
1,AKV,ART,0.5166666666666667,60
2,AKV,CHR,0.6964285714285714,112
3,AKV,CRY,0.761252446183953,511
4,AKV,CUR,0.66,150
5,AKV,FIL,0.7542168674698795,415
6,AKV,FOO,0.4140625,512
7,AKV,GEO,0.5430809399477807,383
8,AKV,GRA,0.5988791032826261,1249
9,AKV,HIS,1.0,3
10,AKV,LIS,0.5483870967741935,93
11,AKV,MUS,0.3549432739059968,617
12,AKV,SCI,0.6930232558139535,215
13,AKV,SPO,0.5730027548209367,363
14,AMB,CRY,0.8235294117647058,102
15,AMB,FIL,0.14285714285714285,7
16,AMB,LIS,0.35294117647058826,17
17,AMB,MUS,0.5838926174496645,149
18,AMB,SPO,0.5909090909090909,154
19,AMB,TEL,0.7769230769230769,130
20,ANG,ART,0.45384615384615384,130
21,ANG,FIL,0.6612021857923497,366
22,ANG,FOO,0.7012987012987013,77
23,ANG,GEO,0.6088888888888889,225
24,ANG,GRA,0.5198412698412699,252
25,ANG,MUS,0.565625,320
26,ANG,SCI,0.5984848484848485,132
27,APO,MUS,0.6692913385826772,127
28,APO,SPO,0.65,80
29,AUL,ART,0.5652173913043478,230
30,AUL,CHR,0.54,50
31,AUL,CUR,0.4423076923076923,104
32,AUL,FIL,0.6009708737864078,1030
33,AUL,FOO,0.6,260
34,AUL,GEO,0.7462962962962963,540
35,AUL,GRA,0.591915303176131,1039
36,AUL,HIS,0.7375,80
37,AUL,MUS,0.5790987535953979,1043
38,AUL,SCI,0.6309523809523809,420
39,AUL,SPO,0.5142118863049095,387
40,BAO,ART,0.6857142857142857,70
41,BAO,FIL,0.7272727272727273,660
42,BAO,FOO,0.6234567901234568,162
43,BAO,GEO,0.7292225201072386,373
44,BAO,GRA,0.706408345752608,671
45,BAO,HIS,0.65,80
46,BAO,MUS,0.7038081805359662,709
47,BAO,SCI,0.8507462686567164,268
48,BAO,SCO,0.62,50
49,BAO,SPO,0.7909090909090909,220
50,BAO,THA,0.9142857142857143,70
51,BAR,ART,0.4573643410852713,129
52,BAR,FIL,0.58,350
53,BAR,FOO,0.625,40
54,BAR,GEO,0.6130434782608696,230
55,BAR,GRA,0.5444126074498568,349
56,BAR,HIS,0.6,50
57,BAR,MUS,0.6459459459459459,370
58,BAR,SCI,0.7,220
59,BAR,SPO,0.5953757225433526,173
60,BEE,CRY,0.7,30
61,BEE,CUR,0.7246376811594203,69
62,BEE,GAM,0.8555555555555555,90
63,BEE,GOT,0.7222222222222222,360
64,BEE,MUS,0.7283950617283951,81
65,BEE,SPI,0.5666666666666667,60
66,BLA,ART,0.42857142857142855,91
67,BLA,CHR,0.4117647058823529,17
68,BLA,CRY,0.7142857142857143,7
69,BLA,FIL,0.7079783113865221,1291
70,BLA,FOO,0.6515837104072398,221
71,BLA,GEO,0.5415384615384615,325
72,BLA,GRA,0.6828811973807296,1069
73,BLA,HIS,0.61875,160
74,BLA,MUS,0.5988372093023255,1548
75,BLA,SCI,0.6475972540045767,437
76,BLA,SPO,0.632768361581921,177
77,BOS,ART,0.4666666666666667,30
78,BOS,FIL,0.6583333333333333,120
79,BOS,GEO,0.5833333333333334,60
80,BOS,GRA,0.8076923076923077,52
81,BOS,MUS,0.575,160
82,BOT,ART,0.643598615916955,289
83,BOT,CHR,0.5125,80
84,BOT,CRY,0.711764705882353,170
85,BOT,CUR,0.734375,64
86,BOT,FIL,0.6319317489335771,1641
87,BOT,FOO,0.6336633663366337,606
88,BOT,GEO,0.6839309428950863,753
89,BOT,GRA,0.5431438127090301,1495
90,BOT,HIS,0.5939597315436241,298
91,BOT,LIS,0.5625,80
92,BOT,MUS,0.5544747081712063,1542
93,BOT,SCI,0.5774647887323944,568
94,BOT,SPO,0.639225181598063,413
95,BRE,FIL,0.7272727272727273,22
96,BRE,MUS,0.6142857142857143,70
97,BRE,SPO,0.6,20
98,BRI,CUR,0.69,100
99,BRI,FIL,0.61,300
100,BRI,FOO,0.5625,80
101,BRI,GEO,0.8,120
102,BRI,GRA,0.5653495440729484,329
103,BRI,HIS,0.6451612903225806,62
104,BRI,MUS,0.5232558139534884,344
105,BRI,SCI,0.525,80
106,BRI,SPO,0.6333333333333333,120
107,BUL,LIS,0.54,50
108,BUL,THA,0.8875,80
109,CAB,!MU,0.8212121212121212,330
110,CAB,ART,0.6635514018691588,107
111,CAB,CHR,0.7259615384615384,208
112,CAB,CRY,0.5285714285714286,70
113,CAB,FIL,0.6040268456375839,447
114,CAB,FOO,0.5684210526315789,190
115,CAB,GEO,0.5714285714285714,210
116,CAB,GRA,0.6190476190476191,420
117,CAB,HIS,0.5454545454545454,176
118,CAB,MUS,0.5217391304347826,690
119,CAB,SCI,0.5,64
120,CAB,SPO,0.5821917808219178,292
121,CAB,THA,0.8375,80
122,CAL,ART,0.64,675
123,CAL,CRY,0.7437888198757764,644
124,CAL,CUR,0.5904761904761905,105
125,CAL,FIL,0.691664418667386,3707
