,Location,Round,Mean,Count
0,AKV,CHR,0.6166666666666667,120
1,AKV,CRY,0.85,140
2,AKV,CUR,0.5311475409836065,610
3,AKV,FIL,0.7345238095238096,840
4,AKV,FOO,0.2161290322580645,310
5,AKV,GEO,0.5576923076923077,260
6,AKV,GRA,0.578125,960
7,AKV,MUS,0.46,650
8,AKV,SCI,0.7066666666666667,150
9,AKV,SPO,0.39111111111111113,450
10,AUL,ART,0.57,100
11,AUL,CHR,0.54,50
12,AUL,CUR,0.5167464114832536,209
13,AUL,FIL,0.5838709677419355,310
14,AUL,GEO,0.48,50
15,AUL,GRA,0.5769230769230769,260
16,AUL,MUS,0.590625,320
17,AUL,SCI,0.6666666666666666,60
18,AUL,SPO,0.58,150
19,BLA,ART,0.5263157894736842,190
20,BLA,CHR,0.4891891891891892,370
21,BLA,CUR,0.6365384615384615,520
22,BLA,FIL,0.6802083333333333,960
23,BLA,FOO,0.6142857142857143,210
24,BLA,GEO,0.525,240
25,BLA,GRA,0.6491228070175439,1140
26,BLA,MUS,0.6114035087719298,1140
27,BLA,SCI,0.6441860465116279,430
28,BLA,SPO,0.626,500
29,BOT,CHR,0.5125,80
30,BOT,CUR,0.5294117647058824,289
31,BOT,FIL,0.6630434782608695,460
32,BOT,FOO,0.6111111111111112,90
33,BOT,GEO,0.6461538461538462,130
34,BOT,GRA,0.5521739130434783,460
35,BOT,HIS,0.7,40
36,BOT,MUS,0.46595744680851064,470
37,BOT,SCI,0.5285714285714286,70
38,BOT,SPO,0.6409090909090909,220
39,BRI,CUR,0.5333333333333333,90
40,BRI,FIL,0.4666666666666667,90
41,BRI,GRA,0.4111111111111111,90
42,BRI,HIS,0.675,40
43,BRI,MUS,0.4666666666666667,90
44,BRI,SPO,0.4,50
45,CAB,ART,0.675,80
46,CAB,CHR,0.5375,160
47,CAB,CUR,0.5571428571428572,70
48,CAB,FIL,0.5190476190476191,210
49,CAB,GEO,0.45714285714285713,70
50,CAB,GRA,0.5285714285714286,210
51,CAB,MUS,0.4,130
52,CAB,SCI,0.4666666666666667,60
53,CAB,SPO,0.43333333333333335,60
54,CAL,ART,0.5058823529411764,170
55,CAL,CHR,0.49444444444444446,180
56,CAL,CRY,0.66,150
57,CAL,CUR,0.6155555555555555,450
58,CAL,FIL,0.7,1090
59,CAL,FOO,0.6448275862068965,290
60,CAL,GEO,0.5388888888888889,180
61,CAL,GRA,0.6412844036697247,1090
62,CAL,HIS,0.5,110
63,CAL,MUS,0.6174311926605505,1090
64,CAL,SCI,0.7785714285714286,140
65,CAL,SPO,0.5686274509803921,510
66,CAN,ART,0.44666666666666666,150
67,CAN,CHR,0.5307692307692308,130
68,CAN,CUR,0.45161290322580644,310
69,CAN,FIL,0.576,500
70,CAN,FOO,0.45384615384615384,130
71,CAN,GEO,0.44666666666666666,150
72,CAN,GRA,0.4152542372881356,590
73,CAN,HIS,0.4111111111111111,90
74,CAN,MUS,0.5830508474576271,590
75,CAN,SCI,0.5,90
76,CAN,SPO,0.4681818181818182,220
77,CHA,ART,0.6818181818181818,110
78,CHA,CHR,0.5454545454545454,110
79,CHA,CUR,0.5703703703703704,270
80,CHA,FIL,0.7357142857142858,420
81,CHA,FOO,0.8142857142857143,70
82,CHA,GEO,0.650887573964497,169
83,CHA,GRA,0.6666666666666666,510
84,CHA,MUS,0.7156862745098039,510
85,CHA,SCI,0.6333333333333333,150
86,CHA,SPO,0.6956521739130435,230
