,Location,Round,Mean,Count
0,AKV,!ED,0.7285714285714285,140
1,AKV,ART,0.6426229508196721,1830
2,AKV,CHR,0.6764705882352942,170
3,AKV,CRY,0.7228260869565217,920
4,AKV,CUR,0.5765957446808511,940
5,AKV,FIL,0.7109742441209407,8930
6,AKV,FOO,0.6196428571428572,2800
7,AKV,GEO,0.7258666666666667,3750
8,AKV,GRA,0.6479558011049724,9050
9,AKV,HIS,0.6784810126582278,1580
10,AKV,LIS,0.671875,320
11,AKV,MUS,0.6096598639455783,7350
12,AKV,SCI,0.6753623188405797,2760
13,AKV,SPO,0.5928104575163399,3060
14,AMB,ART,0.5645348837209302,1720
15,AMB,CHR,0.7,90
16,AMB,CRY,0.7397058823529412,680
17,AMB,CUR,0.7142857142857143,140
18,AMB,FIL,0.6724358064973756,7049
19,AMB,FOO,0.6317293949499762,2099
20,AMB,GEO,0.6576158940397351,3020
21,AMB,GRA,0.5950354609929078,7050
22,AMB,HIS,0.6139072847682119,1510
23,AMB,LIS,0.5842105263157895,380
24,AMB,MUS,0.6087943262411347,7050
25,AMB,SCI,0.6235,2000
26,AMB,SPO,0.6141630901287554,2330
27,AMB,TEL,0.7769230769230769,130
28,ANG,ART,0.5413793103448276,290
29,ANG,CHR,0.5588235294117647,170
30,ANG,CRY,0.32,100
31,ANG,FIL,0.6113821138211382,1230
32,ANG,FOO,0.5904761904761905,420
33,ANG,GEO,0.6525641025641026,780
34,ANG,GRA,0.5780487804878048,1230
35,ANG,LIS,0.7333333333333333,60
36,ANG,MUS,0.583739837398374,1230
37,ANG,SCI,0.617948717948718,390
38,ANG,SPO,0.6666666666666666,180
39,ANG,THA,0.7571428571428571,70
40,APO,ART,0.6807692307692308,520
41,APO,CRY,0.5416666666666666,240
42,APO,CUR,0.925,40
43,APO,FIL,0.664321608040201,1990
44,APO,FOO,0.6819672131147541,610
45,APO,GEO,0.7238636363636364,880
46,APO,GRA,0.6205128205128205,1950
47,APO,HIS,0.7742857142857142,350
48,APO,LIS,0.8166666666666667,60
49,APO,MUS,0.6223958333333334,1920
50,APO,SCI,0.5879310344827586,580
51,APO,SPO,0.624561403508772,570
52,AUL,ART,0.5652173913043478,230
53,AUL,CHR,0.54,50
54,AUL,CUR,0.5167464114832536,209
55,AUL,FIL,0.5926605504587156,1090
56,AUL,FOO,0.6,260
57,AUL,GEO,0.7462962962962963,540
58,AUL,GRA,0.591915303176131,1039
59,AUL,HIS,0.7375,80
60,AUL,MUS,0.5781818181818181,1100
61,AUL,SCI,0.6309523809523809,420
62,AUL,SPO,0.5128205128205128,390
63,BAO,ART,0.6043478260869565,230
64,BAO,CHR,0.6222222222222222,90
65,BAO,FIL,0.7373493975903614,1660
66,BAO,FOO,0.6666666666666666,570
67,BAO,GEO,0.7444444444444445,990
68,BAO,GRA,0.708433734939759,1660
69,BAO,HIS,0.65,80
70,BAO,MUS,0.7064496684749849,1659
71,BAO,SCI,0.7675675675675676,740
72,BAO,SCO,0.62,50
73,BAO,SPO,0.758,500
74,BAO,THA,0.9142857142857143,70
75,BAR,ART,0.44970414201183434,169
76,BAR,FIL,0.6193877551020408,980
77,BAR,FOO,0.5473684210526316,380
78,BAR,GEO,0.6477272727272727,440
79,BAR,GRA,0.5280898876404494,979
80,BAR,HIS,0.5875,80
81,BAR,MUS,0.6193877551020408,980
82,BAR,SCI,0.6541666666666667,480
83,BAR,SPO,0.5,410
84,BEE,ART,0.6383928571428571,1120
85,BEE,CHR,0.9,40
86,BEE,CRY,0.7361111111111112,360
87,BEE,CUR,0.7142857142857143,70
88,BEE,FIL,0.6854368932038835,4120
89,BEE,FOO,0.6654135338345865,1330
90,BEE,GAM,0.8555555555555555,90
91,BEE,GEO,0.6642458100558659,1790
92,BEE,GOT,0.7222222222222222,360
93,BEE,GRA,0.6434146341463415,4100
94,BEE,HIS,0.6108108108108108,740
95,BEE,LIS,0.7941176470588235,170
96,BEE,MUS,0.6711864406779661,4130
97,BEE,SCI,0.6341269841269841,1260
98,BEE,SPI,0.5666666666666667,60
99,BEE,SPO,0.6676923076923077,1300
100,BLA,ART,0.6222222222222222,3150
101,BLA,CHR,0.4891891891891892,370
102,BLA,CRY,0.7568756875687569,909
103,BLA,CUR,0.7134920634920635,1260
104,BLA,FIL,0.6951275045537341,13176
105,BLA,FOO,0.6336870026525199,3770
106,BLA,GEO,0.6910633260998225,5069
107,BLA,GRA,0.6634723366025305,13357
108,BLA,HIS,0.6759259259259259,2700
109,BLA,LIS,0.5744186046511628,430
110,BLA,MUS,0.6568215892053973,13340
111,BLA,SCI,0.6723137618937108,4309
112,BLA,SPO,0.644421906693712,4930
113,BOS,ART,0.6043478260869565,230
114,BOS,FIL,0.66,750
115,BOS,FOO,0.5615384615384615,260
116,BOS,GEO,0.7774193548387097,310
117,BOS,GRA,0.6346666666666667,750
118,BOS,HIS,0.7444444444444445,90
119,BOS,MUS,0.6114819759679573,749
120,BOS,SCI,0.79,300
121,BOS,SPO,0.6870967741935484,310
122,BOT,ART,0.6133333333333333,1200
123,BOT,CHR,0.4866666666666667,150
124,BOT,CRY,0.7111111111111111,270
125,BOT,CUR,0.5671641791044776,469
126,BOT,FIL,0.6564150943396226,5300
127,BOT,FOO,0.6335012594458438,1588
128,BOT,GEO,0.7113970588235294,2720
129,BOT,GRA,0.600683241601822,5269
130,BOT,HIS,0.6766666666666666,600
131,BOT,LIS,0.5625,80
132,BOT,MUS,0.5772128060263654,5310
133,BOT,SCI,0.6260251503553854,1829
134,BOT,SPO,0.6628930817610063,1590
135,BRE,FIL,0.6285714285714286,70
136,BRE,FOO,0.5,50
137,BRE,GEO,0.58,50
138,BRE,GRA,0.6571428571428571,70
139,BRE,MUS,0.6142857142857143,70
140,BRE,SCI,0.6,20
141,BRE,SPO,0.6,20
142,BRI,CUR,0.6476190476190476,210
143,BRI,FIL,0.5951219512195122,410
144,BRI,FOO,0.5625,80
145,BRI,GEO,0.6777777777777778,180
146,BRI,GRA,0.5878048780487805,410
147,BRI,HIS,0.67,100
148,BRI,MUS,0.551219512195122,410
149,BRI,SCI,0.525,80
150,BRI,SPO,0.5647058823529412,170
151,BUL,ART,0.67875,800
152,BUL,CHR,0.83,100
153,BUL,CRY,0.8222222222222222,270
154,BUL,CUR,0.63,100
155,BUL,FIL,0.755777854432563,2899
156,BUL,FOO,0.6710526315789473,760
157,BUL,GEO,0.8057377049180328,1220
158,BUL,GRA,0.6981462049667716,2859
159,BUL,HIS,0.8340909090909091,440
160,BUL,LIS,0.6789473684210526,190
161,BUL,MUS,0.7086206896551724,2900
162,BUL,SCI,0.6866666666666666,900
163,BUL,SPO,0.6741573033707865,890
164,BUL,THA,0.8875,80
165,CAB,!MU,0.8212121212121212,330
166,CAB,ART,0.61875,1920
167,CAB,CHR,0.6361111111111111,360
168,CAB,CRY,0.7111111111111111,270
169,CAB,CUR,0.6571428571428571,210
170,CAB,FIL,0.6148876404494382,7120
171,CAB,FOO,0.6314410480349345,2290
172,CAB,GEO,0.671523178807947,3020
173,CAB,GRA,0.6016877637130802,7110
174,CAB,HIS,0.6243697478991597,1190
175,CAB,LIS,0.612,250
176,CAB,MUS,0.557910447761194,6700
177,CAB,SCI,0.6358870967741935,2480
178,CAB,SPO,0.6111111111111112,2250
179,CAB,THA,0.8375,80
180,CAL,ART,0.6516304347826087,3680
181,CAL,CHR,0.5666666666666667,300
182,CAL,CRY,0.7648148148148148,1620
183,CAL,CUR,0.6861111111111111,1080
184,CAL,FIL,0.7088874259381172,15190
185,CAL,FOO,0.6781531531531532,4440
186,CAL,GEO,0.7066666666666667,6450
187,CAL,GRA,0.6680583167660702,15090
188,CAL,HIS,0.7139344262295082,2440
189,CAL,LIS,0.6781818181818182,550
190,CAL,MUS,0.6519762845849802,15180
191,CAL,SCI,0.6897119341563785,4860
192,CAL,SPO,0.6616600790513834,5060
193,CAN,309,0.6846153846153846,130
194,CAN,331,0.4076923076923077,130
195,CAN,333,0.4153846153846154,130
196,CAN,334,0.5192307692307693,260
197,CAN,ART,0.47354497354497355,1890
198,CAN,CHR,0.5974358974358974,390
199,CAN,CRY,0.5625,80
200,CAN,CUR,0.4666666666666667,390
201,CAN,FIL,0.599636803874092,8260
202,CAN,FOO,0.5235087719298246,2850
203,CAN,GEO,0.5686528497409327,3860
204,CAN,GRA,0.512200956937799,8360
205,CAN,HIS,0.5869565217391305,690
206,CAN,LIS,0.48148148148148145,270
207,CAN,MUS,0.5666945806914703,8359
208,CAN,SCI,0.5477508650519031,2890
209,CAN,SPI,0.6818181818181818,110
210,CAN,SPO,0.5335403726708075,3220
211,CAN,THA,0.5333333333333333,120
212,CHA,ART,0.6408866995073892,2030
213,CHA,CHR,0.6684210526315789,190
214,CHA,CRY,0.7475409836065574,610
215,CHA,CUR,0.6786885245901639,610
216,CHA,FIL,0.7374282433983926,8710
217,CHA,FOO,0.6897163120567376,2820
218,CHA,GEO,0.7466103578573017,4499
219,CHA,GRA,0.6880327309921582,8799
220,CHA,HIS,0.7096774193548387,1240
221,CHA,LIS,0.8,120
222,CHA,MUS,0.6629545454545455,8800
223,CHA,SCI,0.6866666666666666,3000
224,CHA,SPO,0.7182170542635659,2580
225,CHU,ART,0.5845744680851064,1880
226,CHU,CHR,0.593939393939394,660
227,CHU,CRY,0.6869565217391305,230
228,CHU,CUR,0.6318181818181818,1100
229,CHU,FIL,0.7072792362768496,8380
230,CHU,FOO,0.6608540925266904,2810
231,CHU,GEO,0.6876315789473684,3800
232,CHU,GRA,0.6322429906542056,8560
233,CHU,HAL,0.5058823529411764,680
234,CHU,HIS,0.6877777777777778,900
235,CHU,LIS,0.6466666666666666,150
236,CHU,MUS,0.7123831775700935,8560
237,CHU,PIC,0.6020408163265306,490
238,CHU,SCI,0.6542938030827304,3179
239,CHU,SPO,0.6041055718475073,3069
240,COM,ART,0.689010989010989,1820
241,COM,CHR,0.6705882352941176,170
242,COM,CRY,0.7413793103448276,870
243,COM,CUR,0.665,800
244,COM,FIL,0.7165588615782665,7730
245,COM,FOO,0.7020576131687243,2430
246,COM,GEO,0.696,3250
247,COM,GRA,0.6845153816449994,7769
248,COM,HIS,0.6916666666666667,1200
249,COM,LIS,0.7555555555555555,90
250,COM,MUS,0.685180412371134,7760
251,COM,SCI,0.7094827586206897,2320
252,COM,SCO,0.66,50
253,COM,SPO,0.6762773722627737,2740
254,CRO,FIL,0.9473684210526315,190
255,CRO,FOO,0.7666666666666667,90
256,CRO,GEO,0.8578947368421053,190
257,CRO,GRA,0.8105263157894737,190
258,CRO,MUS,0.7315789473684211,190
259,CRO,SCI,0.6333333333333333,30
260,CRO,SPO,0.8142857142857143,70
261,DAV,ART,0.54,50
262,DAV,FIL,0.5146341463414634,410
263,DAV,FOO,0.5230769230769231,130
264,DAV,GEO,0.6541666666666667,240
265,DAV,GRA,0.5536585365853659,410
266,DAV,LIS,0.45,40
267,DAV,MUS,0.5121951219512195,410
268,DAV,SCI,0.7875,80
269,DAV,SCO,0.725,40
270,DAV,SPO,0.6256410256410256,390
271,DIA,FIL,0.7734513274336283,1130
272,DIA,FOO,0.7559322033898305,590
273,DIA,GEO,0.8453488372093023,860
274,DIA,GRA,0.7946902654867256,1130
275,DIA,MUS,0.6690265486725664,1130
276,DIA,SCI,0.84375,640
277,DIA,SPO,0.6823529411764706,170
278,DRO,ART,0.6881516587677725,2110
279,DRO,CHR,0.5769230769230769,130
280,DRO,CRY,0.7607476635514019,1070
281,DRO,CUR,0.711764705882353,340
282,DRO,FIL,0.6724940401861732,8809
283,DRO,FOO,0.6296875,2560
284,DRO,GEO,0.7427027027027027,3700
285,DRO,GRA,0.6547105561861521,8810
286,DRO,HIS,0.74,1750
287,DRO,LIS,0.6516129032258065,310
288,DRO,MUS,0.6006810442678774,8810
289,DRO,SCI,0.6982638888888889,2880
290,DRO,SPO,0.662962962962963,2700
291,EAS,ART,0.6076271186440678,1180
292,EAS,CHR,0.215,200
293,EAS,CRY,0.8181818181818182,110
294,EAS,CUR,0.748780487804878,410
295,EAS,FIL,0.7082494969818913,5467
296,EAS,FOO,0.6727025803531009,2209
297,EAS,GEO,0.7507751937984496,2580
298,EAS,GRA,0.6743463155970013,5469
299,EAS,HIS,0.8133595284872298,509
300,EAS,MUS,0.6509416712378863,5469
301,EAS,SCI,0.6596153846153846,2080
302,EAS,SPO,0.64376130198915,1659
303,EMP,ART,0.6822429906542056,1819
304,EMP,CHR,0.5941176470588235,170
305,EMP,COM,0.8666666666666667,90
306,EMP,CRY,0.7635574837310195,461
307,EMP,CUR,0.6157894736842106,570
308,EMP,FIL,0.7267198270036491,7399
309,EMP,FOO,0.7,1950
310,EMP,GEO,0.7380327868852459,3050
311,EMP,GRA,0.6766999589547134,7309
312,EMP,HIS,0.6632075471698113,1060
313,EMP,LIS,0.6555555555555556,90
314,EMP,MUS,0.6744721169463995,7388
315,EMP,SCI,0.6527586206896552,2900
316,EMP,SCO,0.6285714285714286,70
317,EMP,SPO,0.6431535269709544,2410
318,EMP,THA,0.9142857142857143,70
319,ETT,ART,0.6095238095238096,840
320,ETT,CHR,0.695,200
321,ETT,CRY,0.6705882352941176,170
322,ETT,CUR,0.68,50
323,ETT,FIL,0.6848381601362862,4109
324,ETT,FOO,0.6830065359477124,1530
325,ETT,GEO,0.7009950248756219,2010
326,ETT,GRA,0.7048780487804878,4100
