,Location,Round,Bespoke,QRef,Difficulty,Avg,Max,Count,Total_Pop
0,LEB,FIL,Y,173FILQ07,Easy,0.7978723404255319,1,94,475
10,LEB,FIL,Y,227FILQ10,Easy,0.7647058823529411,1,17,475
241,LEB,FIL,Y,278FILQ07,Easy,0.6739130434782609,1,92,475
248,LEB,FIL,Y,280FILQ08,Easy,0.7042253521126759,1,71,475
287,LEB,FIL,Y,292FILQ10,Easy,0.8731343283582089,1,268,475
51,LEB,FIL,Y,256FILQ08,Medium,0.6,1,20,187
72,LEB,FIL,Y,267FILQ03,Medium,0.600896860986547,1,223,187
79,LEB,FIL,Y,268FILQ04,Medium,0.5555555555555556,1,81,187
74,LEB,FIL,Y,254FILQ10,Hard,0.16666666666666666,1,6,282
197,LEB,FIL,Y,296FILQ07,Hard,0.5015673981191222,1,319,282
10,LEB,SPO,Y,245SPOQ05,Easy,1.0,1,9,107
14,LEB,SPO,Y,249SPOQ02,Easy,0.8,1,15,107
50,LEB,SPO,Y,284SPOQ03,Easy,0.8923076923076924,1,195,107
58,LEB,SPO,Y,294SPOQ10,Easy,0.8392857142857143,1,336,107
85,LEB,SPO,Y,321SPOQ02,Easy,0.7384615384615385,1,325,107
16,LEB,SPO,Y,276SPOQ04,Medium,0.6222222222222222,1,180,56
17,LEB,SPO,Y,276SPOQ07,Medium,0.6444444444444445,1,180,56
21,LEB,SPO,Y,278SPOQ07,Medium,0.6785714285714286,1,28,56
17,LEB,SPO,Y,245SPOQ07,Hard,0.5555555555555556,1,9,169
168,LEB,SPO,Y,371SPOQ08,Hard,0.4196428571428572,1,112,169
162,LEB,MUS,Y,261MUSQ10,Easy,0.7777777777777778,1,9,454
172,LEB,MUS,Y,262MUSQ08,Easy,0.7948717948717948,1,39,454
323,LEB,MUS,Y,293MUSQ08,Easy,0.9634146341463414,1,410,454
374,LEB,MUS,Y,304MUSQ05,Easy,0.6779141104294478,1,326,454
390,LEB,MUS,Y,307MUSQ10,Easy,0.8527607361963192,1,163,454
26,LEB,MUS,Y,240MUSQ08,Medium,0.5531914893617021,1,47,160
84,LEB,MUS,Y,278MUSQ10,Medium,0.5480769230769231,1,104,160
86,LEB,MUS,Y,278MUSQ04,Medium,0.5041322314049587,1,121,160
77,LEB,MUS,Y,255MUSQ01,Hard,0.375,1,8,240
136,LEB,MUS,Y,283MUSQ05,Hard,0.23481781376518215,1,247,240
1,LEB,CUR,Y,329CURQ02,Easy,0.8048780487804879,1,287,23
2,LEB,CUR,Y,329CURQ04,Easy,0.686411149825784,1,287,23
4,LEB,CUR,Y,329CURQ06,Easy,0.7526132404181185,1,287,23
6,LEB,CUR,Y,329CURQ09,Easy,0.6585365853658537,1,287,23
15,LEB,CUR,Y,370CURQ06,Easy,0.6635944700460831,1,217,23
0,LEB,CUR,Y,329CURQ01,Medium,0.5730659025787965,1,349,10
2,LEB,CUR,Y,329CURQ08,Medium,0.5574912891986062,1,287,10
5,LEB,CUR,Y,365CURQ05,Medium,0.577922077922078,1,154,10
1,LEB,CUR,Y,365CURQ09,Hard,0.2987012987012987,1,154,7
2,LEB,CUR,Y,370CURQ08,Hard,0.4377880184331797,1,217,7
16,LEB,GRA,Y,237GRAQ04,Easy,0.7142857142857143,1,35,332
58,LEB,GRA,Y,251GRAQ08,Easy,0.7457627118644068,1,59,332
