,Unnamed: 0,Location,Round_x,Bespoke,QRef,Difficulty,Avg,Max,Count,Total_Pop,Round_y,Questions,Answer ,Extra Info,Points,Percentage,Kudos,QL
0,0,LEB,FIL,Y,173FILQ07,Easy,0.7978723404255319,1,94,475,FIL,What’s the name of the psychotic clown in ‘It’?,Pennywise,,1.0,0.8426966292134831,,
1,10,LEB,FIL,Y,227FILQ10,Easy,0.7647058823529411,1,17,475,FIL,"What is the name of the dragon, voiced by Eddie Murphy, in Disney’s Mulan?",Mu-shu,,1.0,0.72,,
2,241,LEB,FIL,Y,278FILQ07,Easy,0.6739130434782609,1,92,475,FIL,For which 2002 World War 2 film did Adrien Brody win his Best Actor Academy Award?,The Pianist,Youngest ever recipient of the award at 29,1.0,0.6888888888888889,,
3,248,LEB,FIL,Y,280FILQ08,Easy,0.7042253521126759,1,71,475,,,,,,,,
4,287,LEB,FIL,Y,292FILQ10,Easy,0.8731343283582089,1,268,475,FIL,"Finish off the title to this 2011 film, starring Daniel Craig: 'Cowboys and...'?",Aliens,,1.0,0.9140893470790378,,
5,51,LEB,FIL,Y,256FILQ08,Medium,0.6,1,20,187,FIL,"True or false: There was a remake of Psycho released, with Vince Vaughn in the starring role?",True,Nominated for loads of Golden Raspberries,1.0,0.631578947368421,,
6,72,LEB,FIL,Y,267FILQ03,Medium,0.600896860986547,1,223,187,FIL,"Who directed the ‘Godfather’, the ‘Godfather pt2’ and ‘Apocalypse Now?",Francis Ford Coppola,,1.0,0.6261682242990654,,
7,79,LEB,FIL,Y,268FILQ04,Medium,0.5555555555555556,1,81,187,FIL,In which decade were both Monty Pythons’ the Life of Brian’ and ‘the Holy Grail’ released?,1970s,,1.0,0.5769230769230769,,
8,74,LEB,FIL,Y,254FILQ10,Hard,0.16666666666666666,1,6,282,FIL,"In ‘Bruce Almighty’ what is the food related sign off Jim Carrey’s character, Bruce, uses?",“That’s the way the cookie crumbles”,,1.0,0.16666666666666666,,
9,197,LEB,FIL,Y,296FILQ07,Hard,0.5015673981191222,1,319,282,FIL,"Whiplash, Iron Monger and the Mandarin are all villains in which superhero series?",Iron Man,"From Iron Man 2, Iron Man and Iron Man 3",1.0,0.5144694533762058,,
10,10,LEB,SPO,Y,245SPOQ05,Easy,1.0,1,9,107,SPO,In 2017 the island of Madeira unveiled a new bust of which sportsman?,Cristiano Ronaldo,,1.0,1.0,2020-09-07,
11,14,LEB,SPO,Y,249SPOQ02,Easy,0.8,1,15,107,SPO,"Also the name of a UK TV show, what is the name of the 2 player game in which one player must try and guess the order of 4 coloured pegs arranged by the other player?",Mastermind,,1.0,0.8571428571428571,,
12,50,LEB,SPO,Y,284SPOQ03,Easy,0.8923076923076924,1,195,107,SPO,"In the video game series, what is the name of Mario's slightly younger but taller brother?",Luigi,,1.0,0.9560439560439562,2020-09-21,
13,58,LEB,SPO,Y,294SPOQ10,Easy,0.8392857142857143,1,336,107,SPO,For which English Premier League club is Gunnersaurus the mascot of?,Arsenal,He's a dinosaur,1.0,0.8811369509043928,2020-02-21,
14,85,LEB,SPO,Y,321SPOQ02,Easy,0.7384615384615385,1,325,107,SPO,"In men's Tennis, what is the name of the international team event founded in 1900?",Davis Cup,Female version is the Fed Cup,1.0,0.761904761904762,2019-09-13,
15,16,LEB,SPO,Y,276SPOQ04,Medium,0.6222222222222222,1,180,56,SPO,"Popular on cruise ships, what is the name of the game where participants use cues to slide weighted discs into a marked scoring area?",Shuffleboard/quoits,able version also known as quoits,1.0,0.6706586826347305,,
16,17,LEB,SPO,Y,276SPOQ07,Medium,0.6444444444444445,1,180,56,SPO,What is the term commonly used in American football when a very long forward pass is made in desperation with only a small chance of success?,Hail Mary Pass,,1.0,0.688622754491018,2020-08-03,
17,21,LEB,SPO,Y,278SPOQ07,Medium,0.6785714285714286,1,28,56,SPO,Name the sport that originated as a method for rock climbers to practice specific moves at a safe distance from the ground?,Bouldering,,1.0,0.6785714285714286,2020-08-24,
18,17,LEB,SPO,Y,245SPOQ07,Hard,0.5555555555555556,1,9,169,SPO,‘The Owls’ is the nickname of which English football team?,Sheffield Wednesday,,1.0,0.5555555555555556,2020-09-28,
19,168,LEB,SPO,Y,371SPOQ08,Hard,0.4196428571428572,1,112,169,SPO,In which Nintendo video game series would you find the protagonist Samus Aran?,Metroid,[Sam-us or Sam-oos],1.0,0.43119266055045874,2020-04-20,6.0
20,162,LEB,MUS,Y,261MUSQ10,Easy,0.7777777777777778,1,9,454,MUS,Artist? (Place Your Hands - Reef),Reef,,1.0,0.5714285714285714,,
21,172,LEB,MUS,Y,262MUSQ08,Easy,0.7948717948717948,1,39,454,MUS,Artist? (Ace of Spades- Motorhead),Motorhead,,1.0,0.8157894736842105,,
22,323,LEB,MUS,Y,293MUSQ08,Easy,0.9634146341463414,1,410,454,MUS,Title? (Stand By Me- Ben. E. King) S30s A42s,Stand By Me, S30s A42s,1.0,0.9800995024875623,,
23,374,LEB,MUS,Y,304MUSQ05,Easy,0.6779141104294478,1,326,454,MUS,Title? (Pass Out- Tinie Tempah) S28s A31s,Pass Out, S28s A31s,1.0,0.7175324675324676,,
24,390,LEB,MUS,Y,307MUSQ10,Easy,0.8527607361963192,1,163,454,MUS,Title? (Kids In America- Kim Wilde) S40s A44s,Kids In America, S40s A44s,1.0,0.8736263736263736,,
25,26,LEB,MUS,Y,240MUSQ08,Medium,0.5531914893617021,1,47,160,MUS,"Male Artist? (Ain’t No Mountain High Enough- Marvin Gaye, Tammi Terrell)","Marvin Gaye, Tammi Terrell",,1.0,0.5909090909090909,,
26,84,LEB,MUS,Y,278MUSQ10,Medium,0.5480769230769231,1,104,160,MUS,Title? (Ride on Time- Black Box. 1990) S40s A1:33s,Ride on Time, S40s A1:33s,1.0,0.5384615384615384,,
27,86,LEB,MUS,Y,278MUSQ04,Medium,0.5041322314049587,1,121,160,MUS,"Title? (One Dance- Drake, WizKid, Kyla. 2016) S28s A30s",One Dance, S28s A30s,1.0,0.5213675213675214,,
28,77,LEB,MUS,Y,255MUSQ01,Hard,0.375,1,8,240,MUS,Artist? (Good Times- Chic),Chic,,1.0,0.375,,
29,136,LEB,MUS,Y,283MUSQ05,Hard,0.2348178137651821,1,247,240,MUS,Artist? (Dust in the Wind- Kansas),Kansas,,1.0,0.25,,
30,1,LEB,CUR,Y,329CURQ02,Easy,0.8048780487804879,1,287,23,CUR,"In May2018, the United States of America moved their Israeli embassy to Jerusalem from which city?",Tel Aviv,,1.0,0.8279569892473119,,
31,2,LEB,CUR,Y,329CURQ04,Easy,0.686411149825784,1,287,23,CUR,"How many grams of sugar were in a can of the old recipe Irn Bru: A)16g, B)34g, C)50g?",B)34g,The new 2018 recipe has 16g. 34g was 38% of your recommended amount,1.0,0.7060931899641577,,
